,sample,site,Spectrum,O,F,Al,Si,S,K,Cr,Mn,Fe,Zn,Nb,Ta,W,Na,Total,X (m),Y (m)
0,R334047,1,Spectrum 1,56.69,0,13.83,23.24,0,9.08,0,1.04,14.31,0,0,0,0,0,118.19,0.002542,0.011303
1,R334047,1,Spectrum 2,2.88,0,0,0.53,35.29,0,0,0,9.27,52.43,0,0,0,0,100.39,0.001739,0.011734999999999999
2,R334047,1,Spectrum 3,0,0,0,0.33,39.65,0,0,0,52.59,0,0,0,0,0,92.57,0.002063,0.012671
3,R334047,1,Spectrum 4,59.32,0,14.95,26.09,0,10.62,0,1.16,15.66,0,0,0,0,0,127.8,0.003674,0.009869
4,R334047,1,Spectrum 5,45.7,10.02,11.93,20.9,0,8.12,0,0.54,11.59,0,0,0,0,0,108.81,0.0015509999999999999,0.010431
5,R334047,1,Spectrum 6,49.65,0,12.31,21.6,0,8.57,0,0.92,12.27,0,0,0,0,0,105.32,0.002448,0.012230000000000001
6,R334047,1,Spectrum 7,61.81,0,12.65,32.85,0,8.08,0,0.49,7.19,0,0,0,0,0,123.07,0.0036869999999999997,0.011239
7,R334047,1,Spectrum 8,39.92,9.07,10.59,18.89,0,7.52,0,0.47,10.31,0,0,0,0,0,96.77,0.004694,0.012487
8,R334047,1,Spectrum 9,55.6,0,13.76,25.02,0,10,0,0.6,12.02,0,0,0,0,0,117.0,0.004623,0.011175000000000001
9,R334047,1,Spectrum 10,22.45,0,10.43,20.75,0,7.93,1.3,0.55,7.73,0,0,0,0,0,71.14,0.003162,0.010945
10,R334047,1,Spectrum 11,34.08,0,0,0,0,0,0,10.81,10.87,0,10.38,5.26,65.38,0,136.78,0.0044,0.010281
11,R334047,1,Spectrum 12,79.86,0,0,64.51,0,0,0,0,0,0,0,0,0,0,144.37,0.0041730000000000005,0.010539
12,R334047,1,Spectrum 13,41.7,0,10.22,17.31,0,6.9,0,0.58,10.88,0,0,0,0,0,87.6,0.00095,0.010463
13,R334047,1,Spectrum 14,59.45,0,0,45.83,0,0,0,0,0,0,0,0,0,0,105.28,0.0010960000000000002,0.0119
14,R334047,2,Spectrum 1,10.99,0,0,0.99,51.52,0,0,0,66.86,0,0,0,0,0,130.37,-0.005724,0.013446
15,R334047,2,Spectrum 2,54.82,13.86,14.76,24.45,0,9.87,0,1.01,14.5,0,0,0,0,0.41,133.68,-0.006013,0.013817000000000001
16,R334047,2,Spectrum 3,55.42,11.21,14.11,25.78,0,10.22,0,0.85,13.21,0,0,0,0,0,130.79,-0.004938,0.014299
17,R334047,2,Spectrum 4,55.52,0,13.21,21.87,0,8.89,0,0.8,13.48,0,0,0,0,0,113.77,-0.006398,0.014695
18,R334047,2,Spectrum 5,57.62,0,14.2,24.12,0,9.41,0,0.74,14.12,0,0,0,0,0,120.2,-0.006322,0.013523
19,R334047,2,Spectrum 6,63.84,0,15.98,26.92,0,11.14,0,0.95,16.95,0,0,0,0,0,135.77,-0.004573000000000001,0.012818
20,R334047,2,Spectrum 7,60.13,0,14.36,25.51,0,10.29,0,0.81,15.04,0,0,0,0,0,126.13,-0.00566,0.01282
21,R334047,2,Spectrum 8,48.99,11.52,12.67,22.43,0,9.25,0,0.63,12.92,0,0,0,0,0,118.41,-0.006652,0.012874
22,R334047,2,Spectrum 9,47.24,12.83,12.14,22.73,0,8.74,0,0.66,11.73,0,0,0,0,0,116.06,-0.006898,0.014220000000000002
23,R334047,2,Spectrum 10,47.5,32.35,34.14,17.12,0,0,0,0,0,0,0,0,0,0,131.1,-0.006572000000000001,0.014311
24,R334047,2,Spectrum 11,77.33,0,0,61.28,0,0,0,0,0,0,0,0,0,0,138.61,-0.00532,0.014134
25,R334047,2,Spectrum 12,79.71,0,0,64.29,0,0,0,0,0,0,0,0,0,0,144.0,-0.004626000000000001,0.013567000000000001
26,R334047,3,Spectrum 1,52.23,11.03,14.12,22.75,0,8.84,0,0.98,14.04,0,0,0,0,0,123.99,0.004458999999999999,0.019926
27,R334047,3,Spectrum 2,52.53,0,12.94,21.29,0,8.84,0,1.07,13.86,0,0,0,0,0,110.54,0.004019,0.020443000000000003
28,R334047,3,Spectrum 3,54.63,12.22,14.84,25.7,0,10.05,0,1.05,14.68,0,0,0,0,0,133.17,0.005481,0.020228000000000003
29,R334047,3,Spectrum 4,50.48,13.84,12.9,25.29,0,9.35,0,0.41,11.55,0,0,0,0,0,123.81,0.004384000000000001,0.020686
